ID,Mass,RT,Col-root-NL-0V,Col-root-NL-5V,Col-root-NL-10V,Col-root-NL-15V,Col-root-NL-20V,Col-root-NL-25V,Col-root-NL-30V,Col-root-NL-35V,Col-root-NL-40V,Col-root-NL-45V
3998,729.5306,15.57,85826.20108,42501.83417,1,1,1334.406176,544.1344374,1,1,339.1824982,1
3999,378.0929,4.79,60917.94149,68487.54994,65515.18913,58824.02783,47957.75092,64457.91023,70218.11099,51155.53031,29873.37648,40144.55557
4000,466.1506,5.09,115444.8667,62725.0786,1,1,3567.305384,22667.15185,2909.745591,1,1,1
4001,340.1119,8.53,68568.46851,57470.88129,12814.03481,6373.510131,1085.662577,1,1,1,1,1
4002,523.1362,2.35,80901.70757,89392.87229,88491.26368,27147.20689,8849.517766,10845.46561,1,1,1,1
4003,174.1083,9.42,40849.65375,28326.50539,95806.17203,61111.04057,18518.14523,24045.60984,24285.97995,19161.6962,10495.77051,5740.979777
4004,278.163,4.62,74646.75215,67442.55884,30345.85262,9363.533704,1766.40755,9137.242078,2282.034596,1999.201617,1930.930353,1
4005,480.3595,16.62,104483.2524,56509.24572,30398.84043,1,1872.490661,3621.85721,12755.37824,5680.267378,4314.765306,1
4006,206.0249,16.82,7105.678918,9755.399582,19148.6042,25228.03553,21604.13385,18160.1353,20480.3642,29151.09709,62406.98381,87752.72298
4007,182.1092,14.2,1,731.4825602,9741.784478,21268.09411,34579.23135,53588.94888,71778.86009,91095.28803,92448.12326,106876.7912
4008,544.1552,3.77,64664.67752,64583.86666,67258.91626,66853.11618,53010.86031,28178.04575,15304.88954,31449.48177,12263.6947,19463.73259
4009,579.3168,13.66,105938.4462,100459.3096,60799.75152,25331.68122,37113.33171,17473.21609,14020.00827,4165.096008,10291.2337,10491.58644
4010,322.1024,4.44,18226.46888,21182.5451,46158.80026,29507.68045,1,1,1,1,1,1
4011,162.0684,3.67,32699.701,36110.45411,1,108255.9183,63906.16676,37319.903,30840.00452,15527.10546,26826.73444,14211.2665
4012,448.1007,5.02,1,68553.91915,92406.57382,42507.57746,16563.09506,1,1,955.6182663,1,3229.801739
4013,516.1633,7.98,1,1,1,1,1,43453.07634,78497.09673,85460.45556,78733.90775,62415.602
4014,406.2331,10.99,21581.84898,18308.69773,23917.6458,19474.68861,15087.13864,1659.407926,4245.905964,2861.848521,424.675746,3020.748485
4015,443.8704,0.8,42427.9231,54580.27278,82726.05165,99087.38463,116669.3458,127063.7872,127493.268,127878.9374,111254.6714,95092.77133
4016,390.2386,11.14,1,36735.34882,36765.34254,33991.27932,16371.15726,1,1,1,732.8028811,1
4017,324.1004,7.65,81114.44975,70489.4338,16272.42315,1,1,1,1,1,1,1
4018,176.0473,5.35,1,1,31078.15492,50837.26019,70094.7676,67343.86683,73128.41927,90835.51832,76181.52651,80695.04502
