ID,Mass,RT,Col-root-NL-0V-3,Col-root-NL-10V,Col-root-NL-15V,Col-root-NL-20V,Col-root-NL-20V-2,Col-root-NL-25V,Col-root-NL-30V,Col-root-NL-35V,Col-root-NL-40V,Col-root-NL-45V,Col-root-NL-5V
4506,627.1348,4.19,92463.79217,60945.17962,29267.70793,13003.40088,10234.47464,12110.54443,10077.06511,1,7415.140402,1,105875.0028
4507,363.1221,10.87,38319.26415,1,1,1,1,1,1,1,1,1,9288.022412
4508,497.0855,3.91,48702.37463,55818.58248,44571.54828,46461.38143,44357.56861,35346.43588,24519.03382,23709.6007,18970.10819,24116.8797,39113.41366
4509,386.121,4.18,48935.85628,10734.08509,15758.38478,8093.214331,12993.40155,1828.265645,3234.801598,1,1835.140326,3074.915886,30628.18874
4510,247.0874,8.17,1,1,1,1,1,2076.48638,14865.80125,36032.78821,56074.01161,56963.85489,1
4511,426.1146,3.31,57879.38163,21202.66786,13372.29306,3130.245131,10770.20232,1,1,1,1,1,50309.10518
4512,335.1003,5.1,48217.21142,1,1,1,1,1,1,1,1,1,27263.17649
4513,111.0322,5.06,1,4702.863052,26678.02,49517.08099,52917.07141,63386.4504,60765.17749,68217.61392,66170.67326,52789.40487,1
4514,428.2052,7.97,53353.04336,57548.17633,49497.87132,41603.80157,39688.1388,21792.75013,8252.876932,2427.205153,1,1,52510.42715
4515,381.1645,2.19,78841.23273,41180.77108,44010.74105,36181.00595,37641.38046,29013.24178,26268.3798,24459.0268,11640.27301,7904.204734,45737.48722
4516,162.0687,6.73,1,5740.996425,2604.107125,12071.20303,8532.237274,12841.20038,1770.208269,42393.36591,56236.65067,66874.25832,2247.03665
4517,540.2694,15.66,59405.3852,1,1,1,1,1,1,1,1,1,25653.71706
4518,160.0412,7.66,16293.97204,17860.58469,23412.4761,30233.69772,31217.09508,40628.41334,51799.84064,53963.76987,54867.38916,47640.75368,1
4519,750.4803,15.68,89831.83672,49795.53659,63335.26058,93570.93409,110071.0708,58897.30977,73105.12236,66361.61348,69081.78338,83467.598,63003.3037
4520,300.0849,3.12,72095.33988,19479.64894,1,12970.33177,2418.127408,9824.7782,2285.129482,3316.234767,1,1,32551.54139
4521,892.4956,17.92,59209.17121,22251.77557,866.276862,7070.244433,2642.998811,3616.659685,1,1,1799.561265,2151.374554,57469.68732
4522,126.0322,7.67,9838.81749,28416.59605,42731.91858,45839.01116,54543.72294,64562.30721,70292.48424,59509.79165,51306.166,50482.68961,20036.20952
4523,491.3013,11.75,5464.382806,49038.56799,55742.39237,38996.50007,38879.02801,14467.01059,1395.587817,1,1,1,15432.02486
4524,493.1113,3.9,37184.72997,47097.72275,102060.0707,84910.43762,82424.96714,72271.45264,34891.79622,21797.74985,17213.34938,28540.82067,62484.41081
4525,570.1504,5.46,31826.16635,13980.69941,9662.065411,2052.995041,1,1,1,1,1,1,35560.72725
4526,341.1778,16.36,1,35992.3246,45227.64131,60783.46093,68786.64241,58285.20693,46273.85063,41356.54147,35589.31315,27786.94482,6211.025059
4527,215.8668,21.37,60335.39013,44165.10831,24361.43671,2869.555698,14825.42489,14262.92993,10060.975,6360.176109,7784.48094,6166.25269,53511.80895
4528,392.0565,5.9,64125.28599,60514.10623,42269.02026,22306.01191,22326.65657,14059.26374,10886.37781,10541.75945,11126.82042,7190.408901,68327.66826
4529,445.9097,0.79,67520.29666,69610.57662,71694.4665,75850.78041,72272.81574,67711.36045,60927.27107,54314.85465,43648.33665,39960.25551,70586.73019
4530,283.0972,3.81,696493.8979,76719.55128,1,1,1,1,1,1,2337.776952,1,594966.2142
4531,431.0655,1.44,51288.8483,421.6863096,215.9735253,1,1,1,1,1,1,1,13175.16313
4532,492.2128,6.79,1,51304.43662,52765.089,35080.05955,36550.06961,14788.25211,17613.3049,6395.079607,11051.64855,1280.312563,32283.76264
4533,683.0266,5.5,63412.39636,14004.56307,2793.434313,1,1,1,1,1,1,1,36382.10652
4534,946.4923,14.23,52031.35349,58047.46061,83851.74487,77315.39279,77856.98664,70820.78028,58111.40075,40573.84785,39927.18078,37377.77405,53821.07267
4535,237.8247,21.31,34312.07756,20546.17484,37381.58729,32309.77901,33320.67586,29560.5789,31399.29353,29154.24914,19631.5017,15095.88018,34844.38091
4536,252.173,19.24,1,1271.469003,24378.5387,33378.4181,53084.6347,57914.06272,53772.7596,57298.87972,54035.52519,48307.26173,1
4537,687.9905,4.53,27916.67453,68504.70327,52883.32253,64343.38849,66288.05227,48563.33053,34225.75704,18609.41979,9202.747466,10361.95742,42584.17553
4538,500.1302,4.84,27758.4185,37825.51711,60530.09692,52010.0992,19949.05426,40963.99519,42195.03278,44435.42865,39651.42733,35994.58413,35997.5532
4539,877.5848,4.99,34102.89538,34003.07741,24914.03921,11745.79689,12658.6213,3366.829601,1,1,1,1,38448.65141
4540,588.1806,5.43,70726.92038,61755.45894,58452.00627,43810.76875,46969.15906,54220.20867,32600.68404,30991.25394,17318.20962,18342.72311,66244.85595
4541,369.2868,14.21,34446.87567,1,1,246.7919966,456.7846118,1,675.6002435,514.9975753,1,1,1543.76959
4542,312.1207,4.8,9124.433646,73506.89626,61172.17593,53344.76996,51143.6412,29889.0971,17437.44543,10535.99969,5617.671874,2697.578956,42246.22664
4543,519.1912,10.54,32729.86635,23600.33378,2131.324166,1,835.4975081,1,440.1124722,1,1,1,18651.50992
